,Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Cabin,Embarked,Modified_Age,Modified_Cabin,Modified_Sex,Modified_Embarked
150,0,2,male,51.0,0,0,12.525,,S,50.0,1,0,0.0
151,1,1,female,22.0,1,0,66.6,C2,S,20.0,4,1,0.0
152,0,3,male,55.5,0,0,8.05,,S,50.0,1,0,0.0
153,0,3,male,40.5,0,2,14.5,,S,40.0,1,0,0.0
154,0,3,male,,0,0,7.3125,,S,25.252100840336134,1,0,0.0
155,0,1,male,51.0,0,1,61.3792,,C,50.0,1,0,2.0
156,1,3,female,16.0,0,0,7.7333,,Q,10.0,1,1,1.0
157,0,3,male,30.0,0,0,8.05,,S,30.0,1,0,0.0
158,0,3,male,,0,0,8.6625,,S,25.252100840336134,1,0,0.0
159,0,3,male,,8,2,69.55,,S,25.252100840336134,1,0,0.0
160,0,3,male,44.0,0,1,16.1,,S,40.0,1,0,0.0
161,1,2,female,40.0,0,0,15.75,,S,40.0,1,1,0.0
162,0,3,male,26.0,0,0,7.775,,S,20.0,1,0,0.0
163,0,3,male,17.0,0,0,8.6625,,S,10.0,1,0,0.0
164,0,3,male,1.0,4,1,39.6875,,S,0.0,1,0,0.0
165,1,3,male,9.0,0,2,20.525,,S,0.0,1,0,0.0
166,1,1,female,,0,1,55.0,E33,S,25.252100840336134,7,1,0.0
167,0,3,female,45.0,1,4,27.9,,S,40.0,1,1,0.0
168,0,1,male,,0,0,25.925,,S,25.252100840336134,1,0,0.0
169,0,3,male,28.0,0,0,56.4958,,S,20.0,1,0,0.0
170,0,1,male,61.0,0,0,33.5,B19,S,60.0,6,0,0.0
171,0,3,male,4.0,4,1,29.125,,Q,0.0,1,0,1.0
172,1,3,female,1.0,1,1,11.1333,,S,0.0,1,1,0.0
173,0,3,male,21.0,0,0,7.925,,S,20.0,1,0,0.0
174,0,1,male,56.0,0,0,30.6958,A7,C,50.0,2,0,2.0
175,0,3,male,18.0,1,1,7.8542,,S,10.0,1,0,0.0
176,0,3,male,,3,1,25.4667,,S,25.252100840336134,1,0,0.0
177,0,1,female,50.0,0,0,28.7125,C49,C,50.0,4,1,2.0
178,0,2,male,30.0,0,0,13.0,,S,30.0,1,0,0.0
179,0,3,male,36.0,0,0,0.0,,S,30.0,1,0,0.0
180,0,3,female,,8,2,69.55,,S,25.252100840336134,1,1,0.0
181,0,2,male,,0,0,15.05,,C,25.252100840336134,1,0,2.0
182,0,3,male,9.0,4,2,31.3875,,S,0.0,1,0,0.0
183,1,2,male,1.0,2,1,39.0,F4,S,0.0,5,0,0.0
184,1,3,female,4.0,0,2,22.025,,S,0.0,1,1,0.0
185,0,1,male,,0,0,50.0,A32,S,25.252100840336134,2,0,0.0
186,1,3,female,,1,0,15.5,,Q,25.252100840336134,1,1,1.0
187,1,1,male,45.0,0,0,26.55,,S,40.0,1,0,0.0
188,0,3,male,40.0,1,1,15.5,,Q,40.0,1,0,1.0
189,0,3,male,36.0,0,0,7.8958,,S,30.0,1,0,0.0
190,1,2,female,32.0,0,0,13.0,,S,30.0,1,1,0.0
191,0,2,male,19.0,0,0,13.0,,S,10.0,1,0,0.0
192,1,3,female,19.0,1,0,7.8542,,S,10.0,1,1,0.0
193,1,2,male,3.0,1,1,26.0,F2,S,0.0,5,0,0.0
194,1,1,female,44.0,0,0,27.7208,B4,C,40.0,6,1,2.0
195,1,1,female,58.0,0,0,146.5208,B80,C,50.0,6,1,2.0
196,0,3,male,,0,0,7.75,,Q,25.252100840336134,1,0,1.0
197,0,3,male,42.0,0,1,8.4042,,S,40.0,1,0,0.0
198,1,3,female,,0,0,7.75,,Q,25.252100840336134,1,1,1.0
199,0,2,female,24.0,0,0,13.0,,S,20.0,1,1,0.0
200,0,3,male,28.0,0,0,9.5,,S,20.0,1,0,0.0
201,0,3,male,,8,2,69.55,,S,25.252100840336134,1,0,0.0
202,0,3,male,34.0,0,0,6.4958,,S,30.0,1,0,0.0
203,0,3,male,45.5,0,0,7.225,,C,40.0,1,0,2.0
204,1,3,male,18.0,0,0,8.05,,S,10.0,1,0,0.0
205,0,3,female,2.0,0,1,10.4625,G6,S,0.0,3,1,0.0
206,0,3,male,32.0,1,0,15.85,,S,30.0,1,0,0.0
207,1,3,male,26.0,0,0,18.7875,,C,20.0,1,0,2.0
208,1,3,female,16.0,0,0,7.75,,Q,10.0,1,1,1.0
209,1,1,male,40.0,0,0,31.0,A31,C,40.0,2,0,2.0
210,0,3,male,24.0,0,0,7.05,,S,20.0,1,0,0.0
211,1,2,female,35.0,0,0,21.0,,S,30.0,1,1,0.0
212,0,3,male,22.0,0,0,7.25,,S,20.0,1,0,0.0
213,0,2,male,30.0,0,0,13.0,,S,30.0,1,0,0.0
214,0,3,male,,1,0,7.75,,Q,25.252100840336134,1,0,1.0
215,1,1,female,31.0,1,0,113.275,D36,C,30.0,8,1,2.0
216,1,3,female,27.0,0,0,7.925,,S,20.0,1,1,0.0
217,0,2,male,42.0,1,0,27.0,,S,40.0,1,0,0.0
218,1,1,female,32.0,0,0,76.2917,D15,C,30.0,8,1,2.0
219,0,2,male,30.0,0,0,10.5,,S,30.0,1,0,0.0
220,1,3,male,16.0,0,0,8.05,,S,10.0,1,0,0.0
221,0,2,male,27.0,0,0,13.0,,S,20.0,1,0,0.0
222,0,3,male,51.0,0,0,8.05,,S,50.0,1,0,0.0
223,0,3,male,,0,0,7.8958,,S,25.252100840336134,1,0,0.0
224,1,1,male,38.0,1,0,90.0,C93,S,30.0,4,0,0.0
225,0,3,male,22.0,0,0,9.35,,S,20.0,1,0,0.0
226,1,2,male,19.0,0,0,10.5,,S,10.0,1,0,0.0
227,0,3,male,20.5,0,0,7.25,,S,20.0,1,0,0.0
228,0,2,male,18.0,0,0,13.0,,S,10.0,1,0,0.0
229,0,3,female,,3,1,25.4667,,S,25.252100840336134,1,1,0.0
230,1,1,female,35.0,1,0,83.475,C83,S,30.0,4,1,0.0
231,0,3,male,29.0,0,0,7.775,,S,20.0,1,0,0.0
232,0,2,male,59.0,0,0,13.5,,S,50.0,1,0,0.0
233,1,3,female,5.0,4,2,31.3875,,S,0.0,1,1,0.0
234,0,2,male,24.0,0,0,10.5,,S,20.0,1,0,0.0
235,0,3,female,,0,0,7.55,,S,25.252100840336134,1,1,0.0
236,0,2,male,44.0,1,0,26.0,,S,40.0,1,0,0.0
237,1,2,female,8.0,0,2,26.25,,S,0.0,1,1,0.0
238,0,2,male,19.0,0,0,10.5,,S,10.0,1,0,0.0
239,0,2,male,33.0,0,0,12.275,,S,30.0,1,0,0.0
240,0,3,female,,1,0,14.4542,,C,25.252100840336134,1,1,2.0
241,1,3,female,,1,0,15.5,,Q,25.252100840336134,1,1,1.0
242,0,2,male,29.0,0,0,10.5,,S,20.0,1,0,0.0
243,0,3,male,22.0,0,0,7.125,,S,20.0,1,0,0.0
244,0,3,male,30.0,0,0,7.225,,C,30.0,1,0,2.0
245,0,1,male,44.0,2,0,90.0,C78,Q,40.0,4,0,1.0
246,0,3,female,25.0,0,0,7.775,,S,20.0,1,1,0.0
247,1,2,female,24.0,0,2,14.5,,S,20.0,1,1,0.0
248,1,1,male,37.0,1,1,52.5542,D35,S,30.0,8,0,0.0
249,0,2,male,54.0,1,0,26.0,,S,50.0,1,0,0.0
250,0,3,male,,0,0,7.25,,S,25.252100840336134,1,0,0.0
251,0,3,female,29.0,1,1,10.4625,G6,S,20.0,3,1,0.0
252,0,1,male,62.0,0,0,26.55,C87,S,60.0,4,0,0.0
253,0,3,male,30.0,1,0,16.1,,S,30.0,1,0,0.0
254,0,3,female,41.0,0,2,20.2125,,S,40.0,1,1,0.0
255,1,3,female,29.0,0,2,15.2458,,C,20.0,1,1,2.0
256,1,1,female,,0,0,79.2,,C,25.252100840336134,1,1,2.0
257,1,1,female,30.0,0,0,86.5,B77,S,30.0,6,1,0.0
258,1,1,female,35.0,0,0,512.3292,,C,30.0,1,1,2.0
259,1,2,female,50.0,0,1,26.0,,S,50.0,1,1,0.0
260,0,3,male,,0,0,7.75,,Q,25.252100840336134,1,0,1.0
261,1,3,male,3.0,4,2,31.3875,,S,0.0,1,0,0.0
262,0,1,male,52.0,1,1,79.65,E67,S,50.0,7,0,0.0
263,0,1,male,40.0,0,0,0.0,B94,S,40.0,6,0,0.0
264,0,3,female,,0,0,7.75,,Q,25.252100840336134,1,1,1.0
265,0,2,male,36.0,0,0,10.5,,S,30.0,1,0,0.0
266,0,3,male,16.0,4,1,39.6875,,S,10.0,1,0,0.0
267,1,3,male,25.0,1,0,7.775,,S,20.0,1,0,0.0
268,1,1,female,58.0,0,1,153.4625,C125,S,50.0,4,1,0.0
269,1,1,female,35.0,0,0,135.6333,C99,S,30.0,4,1,0.0
270,0,1,male,,0,0,31.0,,S,25.252100840336134,1,0,0.0
271,1,3,male,25.0,0,0,0.0,,S,20.0,1,0,0.0
272,1,2,female,41.0,0,1,19.5,,S,40.0,1,1,0.0
273,0,1,male,37.0,0,1,29.7,C118,C,30.0,4,0,2.0
274,1,3,female,,0,0,7.75,,Q,25.252100840336134,1,1,1.0
275,1,1,female,63.0,1,0,77.9583,D7,S,60.0,8,1,0.0
276,0,3,female,45.0,0,0,7.75,,S,40.0,1,1,0.0
277,0,2,male,,0,0,0.0,,S,25.252100840336134,1,0,0.0
278,0,3,male,7.0,4,1,29.125,,Q,0.0,1,0,1.0
279,1,3,female,35.0,1,1,20.25,,S,30.0,1,1,0.0
280,0,3,male,65.0,0,0,7.75,,Q,60.0,1,0,1.0
281,0,3,male,28.0,0,0,7.8542,,S,20.0,1,0,0.0
282,0,3,male,16.0,0,0,9.5,,S,10.0,1,0,0.0
283,1,3,male,19.0,0,0,8.05,,S,10.0,1,0,0.0
284,0,1,male,,0,0,26.0,A19,S,25.252100840336134,2,0,0.0
285,0,3,male,33.0,0,0,8.6625,,C,30.0,1,0,2.0
286,1,3,male,30.0,0,0,9.5,,S,30.0,1,0,0.0
287,0,3,male,22.0,0,0,7.8958,,S,20.0,1,0,0.0
288,1,2,male,42.0,0,0,13.0,,S,40.0,1,0,0.0
289,1,3,female,22.0,0,0,7.75,,Q,20.0,1,1,1.0
290,1,1,female,26.0,0,0,78.85,,S,20.0,1,1,0.0
291,1,1,female,19.0,1,0,91.0792,B49,C,10.0,6,1,2.0
292,0,2,male,36.0,0,0,12.875,D,C,30.0,8,0,2.0
293,0,3,female,24.0,0,0,8.85,,S,20.0,1,1,0.0
294,0,3,male,24.0,0,0,7.8958,,S,20.0,1,0,0.0
295,0,1,male,,0,0,27.7208,,C,25.252100840336134,1,0,2.0
296,0,3,male,23.5,0,0,7.2292,,C,20.0,1,0,2.0
297,0,1,female,2.0,1,2,151.55,C22 C26,S,0.0,4,1,0.0
298,1,1,male,,0,0,30.5,C106,S,25.252100840336134,4,0,0.0
299,1,1,female,50.0,0,1,247.5208,B58 B60,C,50.0,6,1,2.0
300,1,3,female,,0,0,7.75,,Q,25.252100840336134,1,1,1.0
301,1,3,male,,2,0,23.25,,Q,25.252100840336134,1,0,1.0
302,0,3,male,19.0,0,0,0.0,,S,10.0,1,0,0.0
303,1,2,female,,0,0,12.35,E101,Q,25.252100840336134,7,1,1.0
304,0,3,male,,0,0,8.05,,S,25.252100840336134,1,0,0.0
305,1,1,male,0.92,1,2,151.55,C22 C26,S,0.0,4,0,0.0
306,1,1,female,,0,0,110.8833,,C,25.252100840336134,1,1,2.0
307,1,1,female,17.0,1,0,108.9,C65,C,10.0,4,1,2.0
308,0,2,male,30.0,1,0,24.0,,C,30.0,1,0,2.0
309,1,1,female,30.0,0,0,56.9292,E36,C,30.0,7,1,2.0
310,1,1,female,24.0,0,0,83.1583,C54,C,20.0,4,1,2.0
311,1,1,female,18.0,2,2,262.375,B57 B59 B63 B66,C,10.0,6,1,2.0
312,0,2,female,26.0,1,1,26.0,,S,20.0,1,1,0.0
313,0,3,male,28.0,0,0,7.8958,,S,20.0,1,0,0.0
314,0,2,male,43.0,1,1,26.25,,S,40.0,1,0,0.0
315,1,3,female,26.0,0,0,7.8542,,S,20.0,1,1,0.0
316,1,2,female,24.0,1,0,26.0,,S,20.0,1,1,0.0
317,0,2,male,54.0,0,0,14.0,,S,50.0,1,0,0.0
318,1,1,female,31.0,0,2,164.8667,C7,S,30.0,4,1,0.0
319,1,1,female,40.0,1,1,134.5,E34,C,40.0,7,1,2.0
320,0,3,male,22.0,0,0,7.25,,S,20.0,1,0,0.0
321,0,3,male,27.0,0,0,7.8958,,S,20.0,1,0,0.0
322,1,2,female,30.0,0,0,12.35,,Q,30.0,1,1,1.0
323,1,2,female,22.0,1,1,29.0,,S,20.0,1,1,0.0
324,0,3,male,,8,2,69.55,,S,25.252100840336134,1,0,0.0
325,1,1,female,36.0,0,0,135.6333,C32,C,30.0,4,1,2.0
326,0,3,male,61.0,0,0,6.2375,,S,60.0,1,0,0.0
327,1,2,female,36.0,0,0,13.0,D,S,30.0,8,1,0.0
328,1,3,female,31.0,1,1,20.525,,S,30.0,1,1,0.0
329,1,1,female,16.0,0,1,57.9792,B18,C,10.0,6,1,2.0
330,1,3,female,,2,0,23.25,,Q,25.252100840336134,1,1,1.0
331,0,1,male,45.5,0,0,28.5,C124,S,40.0,4,0,0.0
332,0,1,male,38.0,0,1,153.4625,C91,S,30.0,4,0,0.0
333,0,3,male,16.0,2,0,18.0,,S,10.0,1,0,0.0
334,1,1,female,,1,0,133.65,,S,25.252100840336134,1,1,0.0
335,0,3,male,,0,0,7.8958,,S,25.252100840336134,1,0,0.0
336,0,1,male,29.0,1,0,66.6,C2,S,20.0,4,0,0.0
337,1,1,female,41.0,0,0,134.5,E40,C,40.0,7,1,2.0
338,1,3,male,45.0,0,0,8.05,,S,40.0,1,0,0.0
339,0,1,male,45.0,0,0,35.5,T,S,40.0,0,0,0.0
340,1,2,male,2.0,1,1,26.0,F2,S,0.0,5,0,0.0
341,1,1,female,24.0,3,2,263.0,C23 C25 C27,S,20.0,4,1,0.0
342,0,2,male,28.0,0,0,13.0,,S,20.0,1,0,0.0
343,0,2,male,25.0,0,0,13.0,,S,20.0,1,0,0.0
344,0,2,male,36.0,0,0,13.0,,S,30.0,1,0,0.0
345,1,2,female,24.0,0,0,13.0,F33,S,20.0,5,1,0.0
346,1,2,female,40.0,0,0,13.0,,S,40.0,1,1,0.0
347,1,3,female,,1,0,16.1,,S,25.252100840336134,1,1,0.0
348,1,3,male,3.0,1,1,15.9,,S,0.0,1,0,0.0
349,0,3,male,42.0,0,0,8.6625,,S,40.0,1,0,0.0
350,0,3,male,23.0,0,0,9.225,,S,20.0,1,0,0.0
351,0,1,male,,0,0,35.0,C128,S,25.252100840336134,4,0,0.0
352,0,3,male,15.0,1,1,7.2292,,C,10.0,1,0,2.0
353,0,3,male,25.0,1,0,17.8,,S,20.0,1,0,0.0
354,0,3,male,,0,0,7.225,,C,25.252100840336134,1,0,2.0
355,0,3,male,28.0,0,0,9.5,,S,20.0,1,0,0.0
356,1,1,female,22.0,0,1,55.0,E33,S,20.0,7,1,0.0
357,0,2,female,38.0,0,0,13.0,,S,30.0,1,1,0.0
358,1,3,female,,0,0,7.8792,,Q,25.252100840336134,1,1,1.0
359,1,3,female,,0,0,7.8792,,Q,25.252100840336134,1,1,1.0
360,0,3,male,40.0,1,4,27.9,,S,40.0,1,0,0.0
361,0,2,male,29.0,1,0,27.7208,,C,20.0,1,0,2.0
362,0,3,female,45.0,0,1,14.4542,,C,40.0,1,1,2.0
363,0,3,male,35.0,0,0,7.05,,S,30.0,1,0,0.0
364,0,3,male,,1,0,15.5,,Q,25.252100840336134,1,0,1.0
365,0,3,male,30.0,0,0,7.25,,S,30.0,1,0,0.0
366,1,1,female,60.0,1,0,75.25,D37,C,60.0,8,1,2.0
367,1,3,female,,0,0,7.2292,,C,25.252100840336134,1,1,2.0
368,1,3,female,,0,0,7.75,,Q,25.252100840336134,1,1,1.0
369,1,1,female,24.0,0,0,69.3,B35,C,20.0,6,1,2.0
370,1,1,male,25.0,1,0,55.4417,E50,C,20.0,7,0,2.0
371,0,3,male,18.0,1,0,6.4958,,S,10.0,1,0,0.0
372,0,3,male,19.0,0,0,8.05,,S,10.0,1,0,0.0
373,0,1,male,22.0,0,0,135.6333,,C,20.0,1,0,2.0
374,0,3,female,3.0,3,1,21.075,,S,0.0,1,1,0.0
375,1,1,female,,1,0,82.1708,,C,25.252100840336134,1,1,2.0
376,1,3,female,22.0,0,0,7.25,,S,20.0,1,1,0.0
377,0,1,male,27.0,0,2,211.5,C82,C,20.0,4,0,2.0
378,0,3,male,20.0,0,0,4.0125,,C,20.0,1,0,2.0
379,0,3,male,19.0,0,0,7.775,,S,10.0,1,0,0.0
380,1,1,female,42.0,0,0,227.525,,C,40.0,1,1,2.0
381,1,3,female,1.0,0,2,15.7417,,C,0.0,1,1,2.0
